,state,ft,bt,km,transmission,ownerNo,oem,model,modelYear,centralVariantId,variantName,price,Registration Year,Insurance Validity,Fuel Type,Seats,Kms Driven,RTO,Engine Displacement,Transmission,Year of Manufacture,Features,Mileage,Engine,Max Power,Torque,Color,Engine Type,Displacement,Max Torque,No of Cylinder,Fuel Suppy System,Turbo Charger,Super Charger,Length,Width,Height,Wheel Base,Kerb Weight,Gear Box,Drive Type,Steering Type,Turning Radius,Front Brake Type,Rear Brake Type,Tyre Type,No Door Numbers,Cargo Volumn
1001,kolkata,Petrol,Hatchback,"49,342",Manual,2,Hyundai,Hyundai i10,2011,1577,Era 1.1 iTech SE,157000.0,2011,Third Party,Petrol,5.0,49342,WB20,1086 cc,Manual,2011.0,"Power Steering,Remote Fuel Lid Opener,Air Conditioner,Heater,Adjustable Head Lights,Manually Adjustable Exterior Rear View Mirror,Day Night Rear View Mirror,Passenger Side Rear View Mirror,Bluetooth",19.81,1086,68.05bhp@5500rpm,99,Red,IRDE2 Engine,1086,99.04Nm@4500rpm,4,MPFI,No,No,3585,1595,1550,2380,900,5 Speed,FWD,Power,5.0,Ventilated Disc,Drum,"Tubeless,Radial",5,355
1002,kolkata,Petrol,Hatchback,"76,725",Manual,2,Hyundai,Hyundai i10,2010,1568,Magna,177000.0,2010,Third Party,Petrol,5.0,76725,WB12,1197 cc,Manual,2010.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Manually Adjustable Exterior Rear View Mirror,Power Antenna,Centeral Locking,Day Night Rear View Mirror",20.36,1197,78.9bhp@6000rpm,111,Red,Kappa Petrol Engine,1197,111.7Nm@4000rpm,4,MPFI,No,No,3585,1595,1550,2380,930,5 Speed,FWD,Power,5.0,Ventilated Disc,Drum,"Tubeless,Radial",4,355
1003,kolkata,Petrol,Hatchback,"80,000",Manual,2,Maruti,Maruti A-Star,2009,3893,Lxi,100000.0,2009,Third Party insurance,Petrol,5.0,80000,,998 cc,Manual,2009.0,"Power Steering,Remote Trunk Opener,Air Conditioner,Heater,Adjustable Head Lights,Manually Adjustable Exterior Rear View Mirror,Child Safety Locks,Passenger Side Rear View Mirror",19.0,998,66.1bhp@6200rpm,90,Others,K Series Petrol Engine,998,90Nm@3500rpm,3,MPFI,No,No,3500,1600,1490,2360,860-895kg,5 Speed,FWD,Power,4.5,Ventilated Disc,Drum,"Tubeless,Radial",5,355
1004,kolkata,Diesel,SUV,"83,234",Manual,1,Tata,Tata Nexon,2018,5995,1.5 Revotorq XE,509999.99999999994,2019,Third Party insurance,Diesel,5.0,83234,WB26,1497 cc,Manual,2018.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Manually Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Power Door Locks",21.5,1497,108.5bhp@3750rpm,260,Red,"Revotorq, 1.5L Turbocharged engine",1497,260Nm@1500-2750rpm,4,CDI,Yes,No,3994,1811,1607,2498,1305Kg,6 Speed,FWD,Power,5.1,Disc,Drum,Tubeless Radial Tyres,5,350
1005,kolkata,Petrol,SUV,"9,595",Manual,1,Renault,Renault Kiger,2021,8350,RXZ,712000.0,2022,Third Party insurance,Petrol,5.0,9595,WB06,999 cc,Manual,2021.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Centeral Locking,Radio",19.17,999,71.01bhp@6250rpm,96,White,1.0L energy,999,96Nm@3500rpm,3,MPFi,,,3991,1750,1605,2500,1012,5 Speed,,Electric,5.0,Disc,Drum,"Tubeless, Radial",5,405
1006,kolkata,Petrol,Hatchback,"30,000",Manual,1,Maruti,Maruti Baleno,2018,3962,1.2 Delta,500000.0,2018,Third Party insurance,Petrol,5.0,30000,null,1197 cc,Manual,2018.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Centeral Locking,Cd Player",21.4,1197,83.1bhp@6000rpm,115,Others,VVT Petrol Engine,1197,115Nm@4000rpm,4,MPFI,No,No,3995,1745,1510,2520,870kg,5 Speed,FWD,Power,5.0,Disc,Drum,"Tubeless,Radial",5,355
1007,kolkata,Petrol,SUV,"6,948",Manual,1,Renault,Renault Kiger,2021,8370,RXZ Turbo DT,811000.0,2021,Comprehensive,Petrol,5.0,6948,WB02,999 cc,Manual,2021.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Centeral Locking,Radio",20.5,999,98.63bhp@5000rpm,160,Blue,1.0L Turbo,999,160Nm@2800-3600rpm,3,MPFi,Yes,,3991,1750,1605,2500,1066,5 Speed,,Electric,5.0,Disc,Drum,"Tubeless, Radial",5,405
1008,kolkata,Petrol,SUV,"45,000",Manual,1,Ford,Ford Ecosport,2015,901,1.0 Ecoboost Titanium,425000.0,2015,Comprehensive,Petrol,5.0,45000,WB02,999 cc,Manual,2015.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player",18.88,999,123.37bhp@6000rpm,170,White,Ecoboost Petrol Engine ,999,170Nm@1400-4500rpm,3,Direct Injection,Yes,No,3999,1765,1708,2520,1290kg,5 Speed,FWD,Power,5.3,Ventilated Disc,Drum,"Tubeless,Radial",5,355
1009,kolkata,Petrol,Hatchback,"9,943",Automatic,1,Hyundai,Hyundai Grand i10 Nios,2022,7092,AMT Sportz,694000.0,2022,Comprehensive,Petrol,5.0,9943,WB08,1197 cc,Automatic,2022.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio",20.7,1197,81.86bhp@6000rpm,113,Blue,1.2 Kappa petrol,1197,113.8nm@4000rpm,4,,No,,3805,1680,1520,2450,1140,5-Speed,,Electric,5.0,Disc,Drum,"Tubeless, Radial",5,355
1010,kolkata,Petrol,Hatchback,"31,062",Manual,3,Maruti,Maruti Alto 800,2013,3943,LXI,170000.0,2014,Comprehensive,Petrol,5.0,31062,wb24,796 cc,Manual,2013.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Manually Adjustable Exterior Rear View Mirror,Day Night Rear View Mirror,Passenger Side Rear View Mirror",22.74,796,47.3bhp@6000rpm,69,Grey,F8D Petrol Engine,796,69Nm@3500rpm,3,MPFi,No,No,3395,1490,1475,2360,720kg,5 Speed,FWD,Power,4.6,Solid Disc,Drum,Tubeless Tyres,5,355
1011,kolkata,Petrol,Hatchback,"40,000",Manual,2,Renault,Renault KWID,2017,8976,1.0 RXT,254999.99999999997,2017,Third Party insurance,Petrol,5.0,40000,WB26,999 cc,Manual,2017.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio",23.01,999,67bhp@5500rpm,91,Others,Petrol Engine,999,91Nm@4250rpm,3,MPFi,No,No,3679,1579,1478,2422,710,5 Speed,FWD,Power,4.9,Disc,Drum,"Tubeless,Radial",5,300
