,state,ft,bt,km,transmission,ownerNo,oem,model,modelYear,centralVariantId,variantName,price,Registration Year,Insurance Validity,Fuel Type,Seats,Kms Driven,RTO,Engine Displacement,Transmission,Year of Manufacture,Features,Mileage,Engine,Max Power,Torque,Color,Engine Type,Displacement,Max Torque,No of Cylinder,Fuel Suppy System,Turbo Charger,Super Charger,Length,Width,Height,Wheel Base,Kerb Weight,Gear Box,Drive Type,Steering Type,Turning Radius,Front Brake Type,Rear Brake Type,Tyre Type,No Door Numbers,Cargo Volumn
363,hyderabad,Petrol,Sedan,"60,529",Manual,1,Honda,Honda City,2014,1274,i VTEC S,454000.0,2014,Third Party,Petrol,5,60529.0,TS09,1497 cc,Manual,2014.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Centeral Locking,Radio",17.4,1497.0,117.3bhp@6600rpm,145,White,i VTEC Engine,1497.0,145Nm@4600rpm,4,PGM-Fi,No,No,4440,1695,1495,2600,1041kg,5 Speed ,FWD,Power,5.3,Disc,Drum,"Tubeless,Radial",4,355
364,hyderabad,Diesel,Sedan,"1,15,276",Manual,2,Skoda,Skoda Rapid,2017,5497,1.5 TDI Style BSIV,775000.0,2017,Comprehensive,Diesel,5,115276.0,TS03,1498 cc,Manual,2017.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio",21.13,1498.0,108.6bhp@4000rpm,250,Silver,Diesel Engine,1498.0,250Nm@1500-2500rpm,4,Direct Injection,Yes,No,4413,1699,1466,2552,1210kg,5 Speed,FWD,Power,5.0,Disc,Drum,"Tubeless,Radial",4,460
365,hyderabad,Diesel,SUV,"60,000",Automatic,1,Maruti,Maruti Vitara Brezza,2019,6391,VDi AMT,850000.0,2019,Third Party insurance,Diesel,5,60000.0,TS08,1248 cc,Automatic,2019.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Centeral Locking,Cd Player",24.3,1248.0,88.5bhp@4000rpm,200,Others,DDiS 200 Diesel Engine,1248.0,200Nm@1750rpm,4,CRDi,Yes,No,3995,1790,1640,2500,1185kg,5 Speed,FWD,Power,5.0,Ventilated Disc,Drum,"Tubeless,Radial",5,355
366,hyderabad,Petrol,SUV,"30,241",Manual,1,Renault,Renault Duster,2020,7702,RXE,907000.0,2021,Third Party insurance,Petrol,5,30241.0,TS09,1498 cc,Manual,2020.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Manually Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Brake Assist",16.42,1498.0,104.55bhp@5600rpm,142,White,1.5L Petrol Engine,1498.0,142Nm@4000rpm,4,Multi Point Fuel Injection,No,No,4360,1822,1695,2673,1275,5-Speed,FWD,Power,5.2,Disc,Drum,"Radial,Tubeless",5,475
367,hyderabad,Petrol,Hatchback,"24,197",Manual,1,Hyundai,Hyundai Santro,2019,6667,Sportz BSIV,509000.0,2020,Comprehensive,Petrol,5,24197.0,TS10,1086 cc,Manual,2019.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio",20.3,1086.0,68bhp@5500rpm,99,Others,1.1 litre Petrol Engine,1086.0,99Nm@4500 rpm,4,MPFI,No,No,3610,1645,1560,2400,1050,5 Speed,FWD,Power,5.0,Disc,Drum,"Tubeless,Radial",5,235
368,hyderabad,Petrol,SUV,"20,000",Automatic,1,Mercedes-Benz,Mercedes-Benz GLA,2022,7269,200 BSVI,4800000.0,2022,Third Party insurance,Petrol,5,20000.0,TS09,1332 cc,Automatic,2022.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Radio",19.7,1332.0,160.92bhp@5500rpm,250,Others,,1332.0,250Nm@1620–4000rpm,4,,Yes,,4410,2020,1611,2729,1480,7G-DCT,FWD,,5.0,Disc,Disc,"Tubeless,Radial",5,355
369,hyderabad,Petrol,Hatchback,"44,981",Manual,1,Hyundai,Hyundai i20 N Line,2021,8582,N6 iMT Dual Tone BSVI,940000.0,2021,Third Party,Petrol,5,44981.0,TS07,998 cc,Manual,2021.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio",20.0,998.0,118.41bhp@6000rpm,172,White,1.0 Turbo GDI,998.0,172Nm@1500-4000rpm,3,,Yes,,3995,1775,1505,2580,1200,iMT,,Electric,5.0,Disc,Disc,"Tubeless,Radial",5,355
370,hyderabad,Diesel,Hatchback,"85,497",Manual,2,Nissan,Nissan Micra,2011,3302,Diesel XV Premium,227000.0,2011,Comprehensive,Diesel,5,85497.0,AP28,1461 cc,Manual,2011.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Fog Lights Front,Power Adjustable Exterior Rear View Mirror,Centeral Locking,Driver Air Bag,Cd Player",23.08,1461.0,63.1bhp@4000rpm,160,Maroon,In-Line Diesel Engine ,1461.0,160Nm@2000rpm,4,Common Rail,No,No,3780,1665,1525,2450,1013,5 Speed ,FWD,Power,4.65,Ventilated Disc,Drum,"Tubeless,Radial",5,251
371,hyderabad,Petrol,SUV,"20,000",Automatic,1,Audi,Audi Q5,2022,8699,Technology BSVI,6200000.0,2022,Third Party insurance,Petrol,5,20000.0,TS09,1984 cc,Automatic,2022.0,"Remote Trunk Opener,Navigation System,Digital Odometer,Leather Seats,Fog Lights Front,Power Adjustable Exterior Rear View Mirror,Driver Air Bag,Passenger Air Bag,Speakers Front",13.47,1984.0,245.59bhp@5000-6000rpm,370,Others,2.0 L TFSI,1984.0,370Nm@1600-4300bhp,4,,,,4682,1893,1653,2819,1970,,AWD,,5.0,,,,5,355
372,hyderabad,Petrol,Hatchback,"30,000",Manual,1,Maruti,Maruti Baleno,2019,3962,1.2 Delta,650000.0,2019,Third Party insurance,Petrol,5,30000.0,TS08,1197 cc,Manual,2019.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Centeral Locking,Cd Player",21.4,1197.0,83.1bhp@6000rpm,115,Others,VVT Petrol Engine,1197.0,115Nm@4000rpm,4,MPFI,No,No,3995,1745,1510,2520,870kg,5 Speed,FWD,Power,5.0,Disc,Drum,"Tubeless,Radial",5,355
