,state,ft,bt,km,transmission,ownerNo,oem,model,modelYear,centralVariantId,variantName,price,Registration Year,Insurance Validity,Fuel Type,Seats,Kms Driven,Engine Displacement,Transmission,Year of Manufacture,RTO,Features,Mileage,Engine,Max Power,Torque,Color,Engine Type,Displacement,Max Torque,No of Cylinder,Fuel Suppy System,Turbo Charger,Length,Width,Height,Wheel Base,Kerb Weight,Gear Box,Drive Type,Steering Type,Front Brake Type,Rear Brake Type,Tyre Type,No Door Numbers,Cargo Volumn,Super Charger,Turning Radius
746,delhi,Diesel,SUV,"20,000",Manual,1,Mahindra,Mahindra Thar,2015,3744,CRDe,549000.0,2015,Comprehensive,Diesel,6.0,20000,2498 cc,Manual,2015,DL12,"Power Steering,Low Fuel Warning Light,Air Conditioner,Heater,Adjustable Head Lights,Manually Adjustable Exterior Rear View Mirror,Passenger Side Rear View Mirror,Halogen Headlamps",16.55,2498,105bhp@3800rpm,247,Black,NEF TCI-CRDe Engine,2498,247Nm@1800-2000rpm,4,Common Rail,Yes,3920,1726,1930,2430,1715,5 Speed,4WD,Power,Disc,Drum,Tubeless,3,384,No,5.75
747,delhi,Petrol,Hatchback,"45,000",Manual,1,Maruti,Maruti Alto 800,2020,7073,LXI,365000.0,2020,Comprehensive,Petrol,5.0,45000,796 cc,Manual,2020,DL12,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Manually Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Child Safety Locks",22.05,796,47.33bhp@6000rpm,69,White,F8D Petrol Engine,796,69Nm@3500rpm,3,,,3445,1515,1475,2360,755,5 Speed,,,Disc,Drum,Tubeless Tyres,5,355,,4.6
748,delhi,Cng,Sedan,"20,000",Manual,1,Maruti,Maruti Swift Dzire Tour,2021,8202,1.2 S STD CNG,650000.0,2021,Third Party insurance,CNG,5.0,20000,1197 cc,Manual,2021,DL5C,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Manually Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Centeral Locking",26.55,1197,70.40Bhp@6000rpm,95,White,VVT,1197,95@4000rpm,4,MPFI,No,3995,1695,1555,2430,1045,5 Speed,,Power,Ventilated Disc,Drum,"Tubeless,Radial",4,355,,4.8
749,delhi,Diesel,SUV,"70,000",Manual,1,Maruti,Maruti SX4 S Cross,2015,4274,DDiS 200 Sigma,449000.0,2015,Comprehensive,Diesel,5.0,70000,1248 cc,Manual,2015,DL1C,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Centeral Locking,Power Door Locks,Speakers Front",23.65,1248,88.5bhp@4000rpm,200,White,DDiS 200 Diesel Engine,1248,200Nm@1750rpm,4,,Yes,4300,1785,1595,2600,1215Kg,5 Speed,FWD,Power,Ventilated Disc,Solid Disc,"Tubeless,Radial",5,355,No,5.0
750,delhi,Petrol,Hatchback,"72,000",Automatic,1,Honda,Honda Jazz,2017,1340,1.2 V AT i VTEC,599000.0,2017,Comprehensive,Petrol,5.0,72000,1199 cc,Automatic,2017,DL10,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player",19.0,1199,88.7bhp@6000rpm,110,White,i-VTEC Petrol Engine,1199,110Nm@4800rpm,4,PGM - Fi,No,3955,1694,1544,2530,1066kg,5 Speed,FWD,Power,Disc,Drum,"Tubeless,Radial",5,355,No,5.0
751,delhi,Diesel,SUV,"7,800",Automatic,0,MG,MG Gloster,2023,9298,Savvy 6 Str 4x4,4645000.0,2019,Comprehensive,Diesel,6.0,7800,1996 cc,Automatic,2023,,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Radio",12.04,1996,212.55bhp@4000rpm,478,Grey,DIESEL 2.0L TWIN TURBO,1996,478.5Nm@1500-2400rpm,4,,Twin,4985,1926,1867,2950,2600,8 Speed,4x4,Electric,Disc,Disc,"Tubeless, Radial",5,355,,5.0
752,delhi,Petrol,Hatchback,"25,000",Manual,1,Tata,Tata Tiago,2020,7376,XZ,499000.0,2020,Comprehensive,Petrol,5.0,25000,1199 cc,Manual,2020,DL10,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio",20.09,1199,84.82bhp@6000rpm,113,Silver,1.2 L Revotron,1199,113nm@3300rpm,3,,,3765,1677,1535,2400,1100,5-Speed`,,Electric,Disc,Drum,"Tubeless, Radial",5,355,,5.0
753,delhi,Petrol,SUV,"19,000",Automatic,1,Lexus,Lexus RX,2020,7187,450hL,8800000.0,2020,Comprehensive,Petrol,5.0,19000,3456 cc,Automatic,2020,DL4C,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Dvd Player",18.8,3456,258.81bhp@6000rpm,335,Black,2 GR FXS,3456,335Nm@4600rpm,6,D-4S,,5000,1895,1700,2790,2195-2260kg,8 Speed,AWD,Electric,Ventilated discs,Ventilated discs,"Tubeless,Radial",5,355,,5.9
754,delhi,Petrol,Sedan,"11,332",Automatic,1,Skoda,Skoda Slavia,2022,8693,1.0 TSI Ambition AT BSVI,1358000.0,2022,Zero Dep,Petrol,5.0,11332,999 cc,Automatic,2022,HR98,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio",18.07,999,113.98bhp@5000-5500rpm,178,Others,1.0 L TSI Petrol,999,178Nm@1750-4500rpm,3,Direct Injection,Yes,4541,1752,1507,2651,1210-1240kg,6-Speed,FWD,Electric,Disc,Drum,"Tubeless,Radial",4,355,,5.0
755,delhi,Petrol,Hatchback,"25,456",Manual,1,Maruti,Maruti Baleno,2016,3969,1.2 Zeta,560000.0,2016,Comprehensive,Petrol,5.0,25456,1197 cc,Manual,2016,UP16,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player",21.4,1197,83.1bhp@6000rpm,115,Blue,VVT Petrol Engine,1197,115Nm@4000rpm,4,MPFI,No,3995,1745,1510,2520,880kg,5 Speed,FWD,Power,Disc,Drum,"Tubeless,Radial",5,355,No,5.0
